33S   1.62e-05  1.32e-05  6.05e-05  2.46e-04  5.70e-05  1.85e-04  1.32e-05  2.12e-04  2.74e-05  5.22e-06
34S   1.51e-04  1.21e-04  1.69e-04  1.78e-03  2.91e-05  1.54e-03  9.85e-06  1.77e-03  1.89e-04  3.83e-05
36S   6.62e-10  7.62e-10  4.44e-09  9.76e-08  3.89e-09  9.88e-08  7.65e-09  1.29e-07  7.76e-10  1.59e-10
35Cl  8.81e-06  5.22e-06  1.67e-05  1.04e-04  3.07e-05  7.93e-05  2.57e-05  9.05e-05  1.07e-05  2.39e-06
37Cl  1.62e-06  2.18e-06  5.46e-06  1.91e-05  7.76e-06  1.70e-05  2.04e-06  1.89e-05  3.73e-06  1.15e-06
36Ar  2.78e-03  1.23e-02  1.38e-03  1.78e-02  1.21e-03  1.73e-02  7.88e-04  1.92e-02  4.31e-03  9.02e-03
38Ar  4.38e-05  6.85e-05  4.62e-05  8.01e-04  1.34e-05  7.42e-04  2.49e-06  8.32e-04  8.33e-05  2.78e-05
40Ar  1.31e-10  8.89e-11  3.50e-10  1.09e-08  2.05e-09  1.54e-08  6.89e-09  2.25e-08  1.78e-10  3.33e-11
39K   1.14e-05  6.02e-06  4.63e-05  5.60e-05  4.93e-05  5.00e-05  5.79e-05  5.51e-05  1.75e-05  3.69e-06
41K   3.87e-07  5.35e-07  2.08e-06  3.51e-06  6.35e-06  3.27e-06  4.73e-06  3.60e-06  1.13e-06  3.38e-07
40Ca  3.42e-03  1.34e-02  4.26e-03  1.65e-02  3.26e-03  1.63e-02  2.38e-03  1.81e-02  5.72e-03  1.04e-02
42Ca  1.03e-06  1.96e-06  5.25e-06  2.13e-05  3.38e-06  1.90e-05  2.45e-06  2.12e-05  2.52e-06  9.94e-07
43Ca  4.60e-06  3.14e-07  1.36e-05  7.10e-07  5.50e-06  3.15e-07  5.21e-06  2.70e-07  2.51e-06  4.11e-07
44Ca  2.72e-04  1.79e-05  7.87e-04  2.11e-05  1.09e-03  1.78e-05  5.69e-04  1.77e-05  1.59e-04  1.74e-05
46Ca  1.28e-11  3.22e-13  1.48e-11  1.95e-09  8.30e-10  7.06e-09  2.85e-09  9.60e-09  1.33e-11  8.66e-14
48Ca  5.96e-10  3.47e-12  6.17e-10  3.12e-11  6.77e-10  3.00e-10  9.16e-10  5.81e-10  6.11e-10  7.17e-15
45Sc  3.09e-07  8.73e-08  2.47e-06  2.17e-07  3.31e-06  1.90e-07  2.59e-06  2.11e-07  5.62e-07  1.15e-07
46Ti  8.00e-06  1.11e-06  5.39e-06  7.98e-06  2.43e-06  7.43e-06  1.36e-06  8.21e-06  3.25e-06  6.85e-07
47Ti  1.68e-05  7.61e-07  3.20e-05  1.04e-06  4.01e-05  8.44e-07  3.06e-05  7.75e-07  5.99e-06  9.53e-07
48Ti  5.55e-04  3.81e-04  2.08e-03  3.59e-04  1.67e-03  3.67e-04  2.32e-04  3.94e-04  7.40e-04  3.24e-04
49Ti  9.97e-06  2.48e-05  2.33e-05  2.46e-05  1.31e-05  2.51e-05  4.26e-06  2.72e-05  1.53e-05  2.03e-05
50Ti  9.14e-10  2.13e-08  8.92e-10  9.15e-09  3.12e-09  1.21e-08  8.57e-09  1.52e-08  9.92e-10  1.31e-08
50V   2.24e-10  1.05e-10  3.60e-10  1.43e-08  1.19e-09  1.11e-08  7.80e-10  1.30e-08  4.05e-10  3.22e-11
51V   8.14e-05  6.74e-05  1.51e-04  6.85e-05  6.42e-05  6.99e-05  1.12e-05  7.54e-05  3.36e-05  5.54e-05
50Cr  9.37e-05  1.42e-04  2.34e-05  2.07e-04  4.66e-06  2.03e-04  1.61e-06  2.25e-04  4.47e-05  1.00e-04
52Cr  1.98e-03  8.66e-03  4.10e-03  7.82e-03  6.56e-04  8.13e-03  2.58e-05  8.82e-03  2.09e-03  7.31e-03
53Cr  6.03e-05  7.78e-04  6.72e-05  7.33e-04  1.36e-05  7.57e-04  1.48e-06  8.21e-04  7.76e-05  6.48e-04
54Cr  1.08e-08  2.34e-07  3.89e-09  9.16e-08  1.65e-08  8.53e-08  4.38e-08  9.85e-08  1.70e-08  1.45e-07
55Mn  2.69e-04  4.38e-03  4.85e-04  4.08e-03  1.74e-05  4.22e-03  1.67e-06  4.57e-03  2.28e-04  3.68e-03
54Fe  1.09e-03  1.90e-02  4.20e-05  2.23e-02  5.54e-06  2.23e-02  1.26e-06  2.48e-02  1.68e-03  1.46e-02
56Fe  3.93e-02  7.23e-01  8.25e-03  5.39e-01  6.99e-05  5.91e-01  1.36e-05  5.41e-01  1.20e-02  8.26e-01
57Fe  1.48e-03  1.70e-02  5.94e-04  1.21e-02  5.82e-06  1.33e-02  2.96e-06  1.13e-02  3.16e-04  2.10e-02
58Fe  2.52e-08  7.78e-07  7.79e-08  7.08e-07  1.03e-06  6.41e-07  2.57e-06  9.30e-07  2.92e-08  4.87e-07
59Co  3.69e-04  6.89e-04  2.91e-05  4.78e-04  9.46e-06  5.08e-04  5.40e-06  3.86e-04  4.13e-05  9.52e-04
58Ni  5.79e-04  2.55e-02  1.25e-04  1.83e-02  1.31e-05  2.05e-02  5.76e-06  1.70e-02  2.06e-04  3.04e-02
60Ni  2.06e-03  1.03e-02  7.57e-04  8.20e-03  1.64e-05  8.01e-03  5.65e-06  6.17e-03  2.67e-04  1.38e-02
61Ni  1.48e-04  4.03e-04  1.22e-04  3.19e-04  3.91e-06  3.19e-04  1.76e-06  2.43e-04  2.04e-05  5.12e-04
62Ni  9.92e-05  3.42e-03  8.10e-05  2.51e-03  7.01e-06  2.70e-03  2.87e-06  2.07e-03  2.41e-05  4.35e-03
64Ni  3.44e-09  2.18e-09  1.36e-08  1.54e-06  2.14e-07  1.21e-06  1.50e-07  1.43e-06  3.53e-09  9.96e-10
63Cu  1.50e-05  1.66e-06  5.38e-06  4.24e-06  1.76e-06  3.59e-06  5.14e-07  3.72e-06  8.06e-06  2.89e-06
64Zn  2.26e-04  2.97e-05  6.04e-05  2.69e-05  2.20e-06  2.39e-05  2.05e-07  1.93e-05  3.20e-05  4.46e-05
66Zn  1.64e-05  6.08e-05  1.31e-05  6.29e-05  1.05e-06  5.68e-05  2.46e-07  4.74e-05  3.19e-06  7.79e-05
67Zn  7.52e-07  4.15e-08  2.15e-06  3.30e-07  2.56e-07  2.79e-07  5.97e-08  3.15e-07  3.04e-07  5.47e-08
68Zn  1.03e-06  2.97e-08  3.55e-06  1.56e-06  3.16e-07  8.09e-07  5.84e-08  9.76e-07  3.43e-07  3.07e-08
70Zn  5.54e-11  5.12e-13  8.51e-11  1.21e-08  1.73e-09  1.02e-08  2.75e-09  1.17e-08  5.80e-11  3.38e-16
69Ga  6.82e-08  5.57e-10  3.00e-07  8.07e-07  5.82e-08  3.33e-07  9.76e-09  4.07e-07  2.51e-08  5.48e-11
71Ga  5.19e-09  2.61e-11  2.25e-08  1.49e-07  1.51e-08  6.96e-08  5.62e-09  8.58e-08  3.59e-09  2.19e-12
