# These data are taken from Wang et al. (2012), Chinese Phys. C, 36, 1603
#
# isotope	mass
s46	46.00004
s47	47.00795
s48	48.0137
s49	49.02276
cl28	28.02954
cl29	29.01478
cl30	30.00477
cl31	30.992414
cl32	31.98568464
cl33	32.97745199
cl34	33.973762485
cl35	34.968852682
cl36	35.968306809
cl37	36.965902602
cl38	37.96801044
cl39	38.9680082
cl40	39.970415
cl41	40.970685
cl42	41.97325
cl43	42.97389
cl44	43.97787
cl45	44.98029
cl46	45.98517
cl47	46.98916
cl48	47.99564
cl49	49.00123
cl50	50.00905
cl51	51.01554
ar30	30.02307
ar31	31.01212
ar32	31.9976378
ar33	32.98992555
ar34	33.98027009
ar35	34.97525759
ar36	35.967545105
ar37	36.96677633
ar38	37.96273211
ar39	38.964313
ar40	39.9623831237
ar41	40.96450057
ar42	41.9630457
ar43	42.9656361
ar44	43.9649238
ar45	44.96803973
ar46	45.968083
ar47	46.972935
ar48	47.97591
ar49	48.9819
ar50	49.98613
ar51	50.9937
ar52	51.99896
ar53	53.00729
k32	32.02265
k33	33.00756
k34	33.99869
k35	34.98800541
k36	35.98130201
k37	36.97337589
k38	37.96908112
k39	38.9637064864
k40	39.963998166
k41	40.9618252579
k42	41.96240231
k43	42.9607347
k44	43.96158699
k45	44.96069149
k46	45.96198159
k47	46.9616616
k48	47.96534119
k49	48.96821075
k50	49.97238
k51	50.975828
k52	51.98224
k53	52.98746
k54	53.99463
k55	55.00076
k56	56.00851
ca34	34.01487
ca35	35.00514
ca36	35.993074
ca37	36.98589785
ca38	37.97631922
ca39	38.97071081
ca40	39.962590863
ca41	40.96227792
ca42	41.95861783
ca43	42.95876644
ca44	43.95548156
ca45	44.95618635
ca46	45.953689
ca47	46.9545424
ca48	47.95252276
ca49	48.95566274
ca50	49.9574992
ca51	50.960989
ca52	51.963217
ca53	52.96945
ca54	53.9734
ca55	54.9803
ca56	55.98508
ca57	56.99262
ca58	57.99794
sc36	36.01648
sc37	37.00374
sc38	37.99512
sc39	38.984785
sc40	39.9779673
sc41	40.969251105
sc42	41.96551653
sc43	42.9611505
sc44	43.9594029
sc45	44.95590828
sc46	45.95516826
sc47	46.9524037
sc48	47.9522236
sc49	48.9500146
sc50	49.952176
sc51	50.953592
sc52	51.95688
sc53	52.95909
sc54	53.96393
sc55	54.96782
sc56	55.97345
sc57	56.97777
sc58	57.98403
sc59	58.98894
sc60	59.99565
sc61	61.001
ti38	38.01145
ti39	39.00236
ti40	39.9905
ti41	40.983148
ti42	41.97304903
ti43	42.9685225
ti44	43.95968995
ti45	44.95812198
ti46	45.95262772
ti47	46.95175879
ti48	47.94794198
ti49	48.94786568
ti50	49.94478689
ti51	50.94661065
ti52	51.946893
ti53	52.94973
ti54	53.95105
ti55	54.95527
ti56	55.95791
ti57	56.96364
ti58	57.9666
ti59	58.97247
ti60	59.97603
ti61	60.98245
ti62	61.98651
ti63	62.99375
v40	40.01276
v41	41.00021
v42	41.99182
v43	42.980766
v44	43.97411
v45	44.9657748
v46	45.96019878
v47	46.95490491
v48	47.9522522
v49	48.9485118
v50	49.94715601
v51	50.94395704
v52	51.94477301
v53	52.9443367
v54	53.946439
v55	54.94724
v56	55.95048
v57	56.95252
v58	57.95672
v59	58.95939
v60	59.96431
v61	60.96725
v62	61.97265
v63	62.97639
v64	63.98264
v65	64.9875
v66	65.99398
cr42	42.0067
cr43	42.99753
cr44	43.98536
cr45	44.97905
cr46	45.968359
cr47	46.9628974
cr48	47.9540291
cr49	48.9513333
cr50	49.94604183
cr51	50.94476502
cr52	51.94050623
cr53	52.94064815
cr54	53.93887916
cr55	54.94083843
cr56	55.9406531
cr57	56.943613
cr58	57.94435
cr59	58.94859
cr60	59.95008
cr61	60.95442
cr62	61.9561
cr63	62.96165
cr64	63.96408
cr65	64.96996
cr66	65.97366
cr67	66.98016
cr68	67.98403
mn44	44.00715
mn45	44.99449
mn46	45.98609
mn47	46.975775
mn48	47.96852
mn49	48.959595
mn50	49.95423778
mn51	50.94820847
mn52	51.9455639
mn53	52.94128889
mn54	53.9403576
mn55	54.93804391
mn56	55.93890369
mn57	56.9382861
mn58	57.9400666
mn59	58.9403911
mn60	59.9431366
mn61	60.9444525
mn62	61.94795
mn63	62.9496647
mn64	63.9538494
mn65	64.9560198
mn66	65.960547
mn67	66.96424
mn68	67.96962
mn69	68.97366
mn70	69.97937
mn71	70.98368
fe45	45.01442
fe46	46.00063
fe47	46.99185
fe48	47.98023
fe49	48.973429
fe50	49.962975
fe51	50.956841
fe52	51.9481131
fe53	52.9453064
fe54	53.93960899
fe55	54.93829199
fe56	55.93493633
fe57	56.93539284
fe58	57.93327443
fe59	58.93487434
fe60	59.9340711
fe61	60.9367462
fe62	61.9367918
fe63	62.9402727
fe64	63.9409878
fe65	64.9450115
fe66	65.94625
fe67	66.95054
fe68	67.95295
fe69	68.95807
fe70	69.96102
fe71	70.96672
fe72	71.96983
fe73	72.97572
fe74	73.97935
co47	47.01057
co48	48.00093
co49	48.98891
co50	49.98091
co51	50.970647
co52	51.96351
co53	52.9542041
co54	53.94845987
co55	54.9419972
co56	55.9398388
co57	56.93629057
co58	57.9357521
co59	58.93319429
co60	59.9338163
co61	60.93247662
co62	61.934059
co63	62.9336
co64	63.935811
co65	64.9364621
co66	65.939443
co67	66.9406096
co68	67.94426
co69	68.94614
co70	69.94963
co71	70.95237
co72	71.95729
co73	72.96039
co74	73.96515
co75	74.96876
co76	75.97413
ni48	48.01769
ni49	49.0077
ni50	49.99474
ni51	50.98611
ni52	51.9748
ni53	52.96819
ni54	53.957892
ni55	54.95133063
ni56	55.94212855
ni57	56.93979218
ni58	57.93534241
ni59	58.9343462
ni60	59.93078588
ni61	60.93105557
ni62	61.92834537
ni63	62.92966963
ni64	63.92796682
ni65	64.93008517
ni66	65.9291393
ni67	66.9315694
ni68	67.9318688
ni69	68.9356103
ni70	69.9364313
ni71	70.940519
ni72	71.9417859
ni73	72.9462067
ni74	73.94798
ni75	74.9525
ni76	75.95533
ni77	76.96055
ni78	77.96336
ni79	78.97025
cu52	51.99671
cu53	52.98459
cu54	53.97666
cu55	54.96604
cu56	55.95895
cu57	56.9492125
cu58	57.94453305
cu59	58.93949748
cu60	59.9373645
cu61	60.9334576
cu62	61.93259541
cu63	62.92959772
cu64	63.92976434
cu65	64.9277897
cu66	65.92886903
cu67	66.9277303
cu68	67.9296109
cu69	68.9294293
cu70	69.9323921
cu71	70.9326768
cu72	71.9358203
cu73	72.9366744
cu74	73.9398749
cu75	74.9415226
cu76	75.945275
cu77	76.94792
cu78	77.95223
cu79	78.95502
cu80	79.96089
cu81	80.96587
cu82	81.97244
zn54	53.99204
zn55	54.98398
zn56	55.97254
zn57	56.96506
zn58	57.954591
zn59	58.94931266
zn60	59.9418421
zn61	60.939507
zn62	61.93433397
zn63	62.9332115
zn64	63.92914201
zn65	64.92924077
zn66	65.92603381
zn67	66.92712775
zn68	67.92484455
zn69	68.9265507
zn70	69.9253192
zn71	70.9277196
zn72	71.9268428
zn73	72.9295826
zn74	73.9294073
zn75	74.9328402
zn76	75.933115
zn77	76.9368872
zn78	77.9382892
zn79	78.9426381
zn80	79.9445529
zn81	80.9504026
zn82	81.95426
zn83	82.96056
zn84	83.96521
zn85	84.97226
ga56	55.99536
ga57	56.9832
ga58	57.97478
ga59	58.96353
ga60	59.95729
ga61	60.949399
ga62	61.94419025
ga63	62.9392942
ga64	63.9368404
ga65	64.93273459
ga66	65.9315894
ga67	66.9282025
ga68	67.9279805
ga69	68.9255735
ga70	69.9260219
ga71	70.92470258
ga72	71.92636747
ga73	72.9251747
ga74	73.9269457
ga75	74.9265002
ga76	75.9288276
ga77	76.9291543
ga78	77.9316088
ga79	78.9328523
ga80	79.9364208
ga81	80.9381338
ga82	81.9431765
ga83	82.9471203
ga84	83.95246
ga85	84.95699
ga86	85.96301
ga87	86.96824
ge58	57.99172
ge59	58.98249
ge60	59.97036
ge61	60.96379
ge62	61.95502
ge63	62.949628
ge64	63.9416899
ge65	64.9393681
ge66	65.9338621
ge67	66.9327339
ge68	67.9280953
ge69	68.9279645
ge70	69.92424875
ge71	70.92495233
ge72	71.922075826
ge73	72.923458956
ge74	73.921177761
ge75	74.92285837
ge76	75.921402726
ge77	76.923549843
ge78	77.9228529
ge79	78.92536
ge80	79.9253508
ge81	80.9288329
ge82	81.929774
ge83	82.9345391
ge84	83.9375751
ge85	84.9429697
ge86	85.94658
ge87	86.95268
ge88	87.95691
ge89	88.96379
ge90	89.96863
as60	59.99388
as61	60.98112
as62	61.97361
as63	62.9639
as64	63.95743
as65	64.949611
as66	65.9441488
as67	66.93925111
as68	67.9367741
as69	68.932246
as70	69.930926
as71	70.9271138
as72	71.9267523
as73	72.9238291
as74	73.9239286
as75	74.92159457
as76	75.92239202
as77	76.9206476
as78	77.921828
as79	78.9209484
as80	79.9224746
as81	80.9221323
as82	81.9247412
as83	82.9252069
as84	83.9293033
as85	84.9321637
as86	85.9367015
as87	86.9402917
as88	87.94555
as89	88.94976
as90	89.95563
as91	90.96039
as92	91.96674
se64	63.97109
se65	64.9644
se66	65.95559
se67	66.949994
se68	67.94182524
se69	68.9394148
se70	69.9335155
se71	70.9322094
se72	71.9271405
se73	72.9267549
se74	73.922475934
se75	74.92252287
se76	75.919213704
se77	76.919914154
se78	77.91730928
se79	78.91849929
se80	79.9165218
se81	80.917993
se82	81.9166995
se83	82.9191186
se84	83.9184668
se85	84.9222608
se86	85.9243117
se87	86.9286886
se88	87.9314175
se89	88.9366691
se90	89.9401
se91	90.94596
se92	91.94984
se93	92.95629
se94	93.96049
se95	94.9673
br67	66.96465
br68	67.95873
br69	68.950497
br70	69.944792
br71	70.9393422
br72	71.9365886
br73	72.9316715
br74	73.9299102
br75	74.9258105
br76	75.924542
br77	76.9213792
br78	77.9211459
br79	78.9183376
br80	79.9185298
br81	80.9162897
br82	81.9168032
br83	82.9151756
br84	83.916496
br85	84.9156458
br86	85.9188054
br87	86.920674
br88	87.9240833
br89	88.9267046
br90	89.9312928
br91	90.9343986
br92	91.9396316
br93	92.94313
br94	93.9489
br95	94.95301
br96	95.95903
br97	96.96344
br98	97.96946
kr69	68.96518
kr70	69.95604
kr71	70.95027
kr72	71.9420924
kr73	72.9392892
kr74	73.933084
kr75	74.9309457
kr76	75.9259103
kr77	76.92467
kr78	77.92036494
kr79	78.9200829
kr80	79.91637808
kr81	80.9165912
kr82	81.91348273
kr83	82.91412716
kr84	83.9114977282
kr85	84.9125273
kr86	85.9106106269
kr87	86.91335476
kr88	87.9144479
kr89	88.9178355
kr90	89.9195279
kr91	90.9238063
kr92	91.9261731
kr93	92.9311472
kr94	93.93414
kr95	94.939711
kr96	95.943017
kr97	96.94909
kr98	97.95243
kr99	98.95839
kr100	99.96237
kr101	100.96873
rb71	70.96532
rb72	71.95908
rb73	72.95053
rb74	73.9442659
rb75	74.9385732
rb76	75.935073
rb77	76.9304016
rb78	77.9281419
rb79	78.9239899
rb80	79.9225164
rb81	80.9189939
rb82	81.918209
rb83	82.9151142
rb84	83.9143752
rb85	84.9117897379
rb86	85.91116743
rb87	86.909180531
rb88	87.91131559
rb89	88.9122783
rb90	89.9147985
rb91	90.9165372
rb92	91.9197284
rb93	92.9220393
rb94	93.9263948
rb95	94.92926
rb96	95.9341334
rb97	96.9371771
rb98	97.9416869
rb99	98.94503
rb100	99.95003
rb101	100.95404
rb102	101.95952
rb103	102.96392
sr73	72.9657
sr74	73.95617
sr75	74.94995
sr76	75.941763
sr77	76.9379455
sr78	77.93218
sr79	78.9297077
sr80	79.9245175
sr81	80.9232114
sr82	81.9183999
sr83	82.9175544
sr84	83.9134191
sr85	84.912932
sr86	85.9092606
sr87	86.9088775
sr88	87.9056125
sr89	88.9074511
sr90	89.90773
sr91	90.9101954
sr92	91.9110382
sr93	92.9140242
sr94	93.9153556
sr95	94.9193529
sr96	95.9217066
sr97	96.926374
sr98	97.9286888
sr99	98.9328907
sr100	99.93577
sr101	100.940352
sr102	101.943791
sr103	102.94909
sr104	103.95265
sr105	104.95855
sr106	105.96265
sr107	106.96897
y76	75.95856
y77	76.949781
y78	77.94361
y79	78.93735
y80	79.9343561
y81	80.9294556
y82	81.9269314
y83	82.922485
y84	83.9206721
y85	84.916433
y86	85.914886
y87	86.9108761
y88	87.9095016
y89	88.9058403
y90	89.9071439
y91	90.9072974
y92	91.9089451
y93	92.909578
y94	93.9115906
y95	94.9128161
y96	95.9158968
y97	96.9182741
y98	97.9223821
y99	98.924148
y100	99.927715
y101	100.9301477
y102	101.9343277
y103	102.937243
y104	103.94196
y105	104.94544
y106	105.95056
y107	106.95452
y108	107.95996
y109	108.96436
zr78	77.95566
zr79	78.94948
zr80	79.9404
zr81	80.93731
zr82	81.93135
zr83	82.9292421
zr84	83.9233269
zr85	84.9214444
zr86	85.9162972
zr87	86.914818
zr88	87.9102213
zr89	88.9088814
zr90	89.9046977
zr91	90.9056396
zr92	91.9050347
zr93	92.9064699
zr94	93.9063108
zr95	94.9080385
zr96	95.9082714
zr97	96.9109512
zr98	97.9127289
zr99	98.916667
zr100	99.9180006
zr101	100.921448
zr102	101.9231409
zr103	102.927191
zr104	103.929436
zr105	104.934008
zr106	105.93676
zr107	106.94174
zr108	107.94487
zr109	108.95041
zr110	109.95396
zr111	110.95968
zr112	111.9637
nb81	80.9496
nb82	81.94396
nb83	82.93729
nb84	83.93449
nb85	84.9288458
nb86	85.9257828
nb87	86.9206937
nb88	87.918222
nb89	88.913445
nb90	89.9112584
nb91	90.9069897
nb92	91.9071881
nb93	92.906373
nb94	93.9072788
nb95	94.9068324
nb96	95.9080973
nb97	96.9080959
nb98	97.9103265
nb99	98.911613
nb100	99.9143276
nb101	100.9153103
nb102	101.9180772
nb103	102.9194572
nb104	103.9228925
nb105	104.9249465
nb106	105.9289317
nb107	106.9315937
nb108	107.9360748
nb109	108.93922
nb110	109.94403
nb111	110.94753
nb112	111.95247
nb113	112.95651
nb114	113.96201
nb115	114.96634
mo83	82.94988
mo84	83.94149
mo85	84.938261
mo86	85.9311748
mo87	86.9281962
mo88	87.9219678
mo89	88.9194682
mo90	89.9139309
mo91	90.9117453
mo92	91.90680796
mo93	92.90680958
mo94	93.9050849
mo95	94.90583877
mo96	95.90467612
mo97	96.90601812
mo98	97.90540482
mo99	98.90770851
mo100	99.9074718
mo101	100.9103414
mo102	101.9102834
mo103	102.913079
mo104	103.9137344
mo105	104.916969
mo106	105.918259
mo107	106.922106
mo108	107.924033
mo109	108.928424
mo110	109.930704
mo111	110.935654
mo112	111.93831
mo113	112.94335
mo114	113.94653
mo115	114.95196
mo116	115.95545
mo117	116.96117
tc85	84.95058
tc86	85.94493
tc87	86.9380672
tc88	87.93378
tc89	88.9276487
tc90	89.9240739
tc91	90.9184254
tc92	91.9152698
tc93	92.910246
tc94	93.9096536
tc95	94.9076536
tc96	95.907868
tc97	96.9063667
tc98	97.9072124
tc99	98.9062508
tc100	99.9076539
tc101	100.907309
tc102	101.9092097
tc103	102.909176
tc104	103.911425
tc105	104.911655
tc106	105.914358
tc107	106.9154606
tc108	107.9184957
tc109	108.920256
tc110	109.923744
tc111	110.925901
tc112	111.9299458
tc113	112.932569
tc114	113.93691
tc115	114.93998
tc116	115.94476
tc117	116.94806
tc118	117.95299
tc119	118.95666
tc120	119.96187
ru87	86.95069
ru88	87.9416
ru89	88.93762
ru90	89.9303444
ru91	90.9267419
ru92	91.9202344
ru93	92.9171044
ru94	93.9113429
ru95	94.910406
ru96	95.90759025
ru97	96.9075471
ru98	97.9052868
ru99	98.9059341
ru100	99.9042143
ru101	100.9055769
ru102	101.9043441
ru103	102.9063186
ru104	103.9054275
ru105	104.9077476
ru106	105.9073291
ru107	106.909972
ru108	107.910188
ru109	108.913326
ru110	109.9140407
ru111	110.91757
ru112	111.918809
ru113	112.922844
ru114	113.9246136
ru115	114.92882
ru116	115.9312192
ru117	116.9361
ru118	117.93853
ru119	118.94357
ru120	119.94631
ru121	120.95164
ru122	121.95447
ru123	122.95989
ru124	123.96305
rh89	88.95058
rh90	89.94422
rh91	90.93688
rh92	91.9323677
rh93	92.9259128
rh94	93.9217305
rh95	94.9158979
rh96	95.914453
rh97	96.911329
rh98	97.910708
rh99	98.9081282
rh100	99.908117
rh101	100.9061606
rh102	101.9068374
rh103	102.905498
rh104	103.9066492
rh105	104.9056885
rh106	105.9072868
rh107	106.906748
rh108	107.908714
rh109	108.9087488
rh110	109.911079
rh111	110.9116423
rh112	111.914403
rh113	112.9154393
rh114	113.918718
rh115	114.9203116
rh116	115.924059
rh117	116.9260354
rh118	117.93034
rh119	118.932557
rh120	119.93686
rh121	120.93942
rh122	121.94399
rh123	122.94685
rh124	123.95151
rh125	124.95469
rh126	125.95946
pd91	90.95032
pd92	91.94088
pd93	92.93651
pd94	93.9290376
pd95	94.9248898
pd96	95.9182151
pd97	96.916472
pd98	97.9126983
pd99	98.9117748
pd100	99.908505
pd101	100.9082864
pd102	101.9056022
pd103	102.9060809
pd104	103.9040305
pd105	104.9050796
pd106	105.9034804
pd107	106.9051282
pd108	107.9038916
pd109	108.9059504
pd110	109.9051722
pd111	110.90768968
pd112	111.9073297
pd113	112.910261
pd114	113.9103686
pd115	114.913659
pd116	115.914297
pd117	116.9179547
pd118	117.9190667
pd119	118.9233402
pd120	119.9245511
pd121	120.9289503
pd122	121.930632
pd123	122.93514
pd124	123.93714
pd125	124.94179
pd126	125.94416
pd127	126.94907
pd128	127.95183
ag93	92.95033
ag94	93.94373
ag95	94.93602
ag96	95.930744
ag97	96.92397
ag98	97.92156
ag99	98.9176458
ag100	99.9161154
ag101	100.912684
ag102	101.9117047
ag103	102.9089631
ag104	103.9086239
ag105	104.9065256
ag106	105.9066636
ag107	106.9050916
ag108	107.9059503
ag109	108.9047553
ag110	109.9061102
ag111	110.9052959
ag112	111.9070486
ag113	112.906573
ag114	113.908823
ag115	114.908767
ag116	115.9113868
ag117	116.911774
ag118	117.9145955
ag119	118.91557
ag120	119.9187848
ag121	120.920125
ag122	121.923664
ag123	122.925337
ag124	123.92893
ag125	124.93105
ag126	125.93475
ag127	126.93711
ag128	127.94106
ag129	128.94395
ag130	129.9507
cd95	94.94994
cd96	95.94034
cd97	96.9351
cd98	97.927389
cd99	98.9249258
cd100	99.9203488
cd101	100.9185862
cd102	101.914482
cd103	102.9134165
cd104	103.9098564
cd105	104.9094639
cd106	105.9064599
cd107	106.9066121
cd108	107.9041834
cd109	108.9049867
cd110	109.90300661
cd111	110.90418287
cd112	111.90276287
cd113	112.90440813
cd114	113.90336509
cd115	114.90543751
cd116	115.90476315
cd117	116.907226
cd118	117.906922
cd119	118.909847
cd120	119.9098681
cd121	120.9129637
cd122	121.9134591
cd123	122.9168925
cd124	123.9176574
cd125	124.9212576
cd126	125.9224291
cd127	126.926472
cd128	127.9278129
cd129	128.93182
cd130	129.93394
cd131	130.9406
cd132	131.94604
cd133	132.95285
in97	96.94934
in98	97.94214
in99	98.93411
in100	99.93096
in101	100.92634
in102	101.9241071
in103	102.9198819
in104	103.9182145
in105	104.914502
in106	105.913464
in107	106.91029
in108	107.9096935
in109	108.9071514
in110	109.90717
in111	110.9051085
in112	111.9055377
in113	112.90406184
in114	113.90491791
in115	114.903878776
in116	115.90525999
in117	116.9045157
in118	117.9063566
in119	118.9058507
in120	119.907967
in121	120.907851
in122	121.910281
in123	122.910434
in124	123.913182
in125	124.913605
in126	125.916507
in127	126.917446
in128	127.9204
in129	128.9218053
in130	129.924977
in131	130.9269715
in132	131.933001
in133	132.93831
in134	133.94454
in135	134.95005
sn99	98.94853
sn100	99.9385
sn101	100.93526
sn102	101.93029
sn103	102.928105
sn104	103.9231052
sn105	104.9212684
sn106	105.9169574
sn107	106.9157137
sn108	107.9118943
sn109	108.9112921
sn110	109.907845
sn111	110.9077401
sn112	111.90482387
sn113	112.9051757
sn114	113.9027827
sn115	114.903344699
sn116	115.9017428
sn117	116.90295398
sn118	117.90160657
sn119	118.90331117
sn120	119.90220163
sn121	120.9042426
sn122	121.9034438
sn123	122.9057252
sn124	123.9052766
sn125	124.9077864
sn126	125.907659
sn127	126.91039
sn128	127.910507
sn129	128.913465
sn130	129.9139738
sn131	130.917045
sn132	131.9178267
sn133	132.9239134
sn134	133.9286821
sn135	134.9349086
sn136	135.93999
sn137	136.94655
sn138	137.95184
sb103	102.93969
sb104	103.93648
sb105	104.931276
sb106	105.928638
sb107	106.9241506
sb108	107.9222267
sb109	108.9181411
sb110	109.9168543
sb111	110.9132182
sb112	111.9124
sb113	112.909375
sb114	113.90929
sb115	114.906598
sb116	115.9067931
sb117	116.9048415
sb118	117.9055321
sb119	118.9039455
sb120	119.9050794
sb121	120.903812
sb122	121.9051699
sb123	122.9042132
sb124	123.905935
sb125	124.905253
sb126	125.907253
sb127	126.9069243
sb128	127.909146
sb129	128.909147
sb130	129.911662
sb131	130.9119888
sb132	131.9145077
sb133	132.9152732
sb134	133.9205357
sb135	134.9251851
sb136	135.9307459
sb137	136.93555
sb138	137.94145
sb139	138.94655
sb140	139.95283
te105	104.9433
te106	105.9375
te107	106.935012
te108	107.9293805
te109	108.9273045
te110	109.9224581
te111	110.9210006
te112	111.9167279
te113	112.915891
te114	113.912089
te115	114.911902
te116	115.90846
te117	116.908646
te118	117.905854
te119	118.9064071
te120	119.9040593
te121	120.904944
te122	121.9030435
te123	122.9042698
te124	123.9028171
te125	124.9044299
te126	125.9033109
te127	126.9052257
te128	127.90446128
te129	128.90659646
te130	129.906222748
te131	130.908522213
te132	131.9085467
te133	132.9109688
te134	133.911394
te135	134.9165557
te136	135.9201006
te137	136.9255989
te138	137.9294722
te139	138.9353672
te140	139.939499
te141	140.9458
te142	141.95022
te143	142.95676
i107	106.94678
i108	107.94348
i109	108.9380853
i110	109.935089
i111	110.9302692
i112	111.928005
i113	112.9236501
i114	113.92185
i115	114.918048
i116	115.91681
i117	116.913648
i118	117.913074
i119	118.910074
i120	119.910087
i121	120.9074051
i122	121.9075888
i123	122.9055885
i124	123.906209
i125	124.9046294
i126	125.9056233
i127	126.9044719
i128	127.9058086
i129	128.9049837
i130	129.9066702
i131	130.9061263
i132	131.9079935
i133	132.907797
i134	133.9097588
i135	134.9100488
i136	135.914604
i137	136.9180282
i138	137.9227264
i139	138.926506
i140	139.93173
i141	140.93569
i142	141.9412
i143	142.94565
i144	143.95139
i145	144.95605
xe109	108.95043
xe110	109.94426
xe111	110.941607
xe112	111.935559
xe113	112.9332217
xe114	113.92798
xe115	114.926294
xe116	115.921581
xe117	116.920359
xe118	117.916179
xe119	118.915411
xe120	119.911784
xe121	120.911453
xe122	121.908368
xe123	122.908482
xe124	123.905892
xe125	124.9063944
xe126	125.9042983
xe127	126.9051829
xe128	127.903531
xe129	128.9047808611
xe130	129.903509349
xe131	130.90508406
xe132	131.9041550856
xe133	132.9059108
xe134	133.90539466
xe135	134.9072278
xe136	135.907214484
xe137	136.91155778
xe138	137.9141463
xe139	138.9187922
xe140	139.9216458
