 	N1 	N3 	N5 	N10 	N20 	N40 	N100H 	N100 	N100L 	N150 	N200 	N300C 	N1600 	N1600C 	N100_Z0.5 	N100_Z0.1 	N100_Z0.01 
29Si 	2.69E-04 	4.64E-04 	5.68E-04 	5.17E-04 	9.49E-04 	1.03E-03 	7.73E-04 	1.03E-03 	1.25E-03 	1.30E-03 	2.08E-03 	1.29E-03 	1.97E-03 	2.86E-03 	7.28E-04 	4.30E-04 	1.35E-04 
30Si 	5.96E-04 	1.00E-03 	1.23E-03 	1.18E-03 	2.12E-03 	2.35E-03 	1.72E-03 	2.36E-03 	2.86E-03 	2.77E-03 	4.76E-03 	2.87E-03 	4.53E-03 	6.55E-03 	1.19E-03 	1.44E-04 	1.84E-05 
31P 	1.40E-04 	2.28E-04 	2.87E-04 	2.78E-04 	4.87E-04 	5.60E-04 	4.20E-04 	5.77E-04 	7.09E-04 	6.59E-04 	1.08E-03 	6.85E-04 	1.05E-03 	1.47E-03 	3.58E-04 	1.05E-04 	3.54E-05 
32S 	2.62E-02 	3.70E-02 	4.79E-02 	5.74E-02 	7.74E-02 	1.01E-01 	8.55E-02 	1.11E-01 	1.38E-01 	1.07E-01 	1.10E-01 	1.27E-01 	1.22E-01 	1.03E-01 	1.12E-01 	1.12E-01 	1.15E-01 
33S 	7.51E-05 	1.06E-04 	1.42E-04 	1.53E-04 	2.43E-04 	3.14E-04 	2.37E-04 	3.39E-04 	4.21E-04 	3.27E-04 	5.23E-04 	3.65E-04 	5.47E-04 	6.79E-04 	2.39E-04 	1.04E-04 	4.57E-05 
34S 	8.26E-04 	1.16E-03 	1.57E-03 	1.75E-03 	2.84E-03 	3.73E-03 	2.74E-03 	4.04E-03 	5.02E-03 	3.68E-03 	6.22E-03 	4.22E-03 	6.56E-03 	8.06E-03 	1.86E-03 	2.60E-04 	7.14E-06 
36S 	8.12E-08 	1.35E-07 	1.65E-07 	1.41E-07 	2.54E-07 	2.57E-07 	1.89E-07 	2.47E-07 	3.05E-07 	3.59E-07 	5.42E-07 	3.23E-07 	4.97E-07 	7.68E-07 	3.86E-08 	1.64E-09 	1.73E-11 
35Cl 	4.29E-05 	6.20E-05 	8.27E-05 	8.37E-05 	1.35E-04 	1.67E-04 	1.27E-04 	1.78E-04 	2.27E-04 	1.89E-04 	2.89E-04 	2.00E-04 	2.98E-04 	3.84E-04 	9.91E-05 	2.64E-05 	5.65E-06 
37Cl 	7.32E-06 	9.62E-06 	1.34E-05 	1.53E-05 	2.26E-05 	3.14E-05 	2.44E-05 	3.51E-05 	4.49E-05 	3.14E-05 	4.66E-05 	3.63E-05 	5.22E-05 	5.75E-05 	2.27E-05 	9.14E-06 	3.52E-06 
36Ar 	4.52E-03 	6.36E-03 	8.03E-03 	9.89E-03 	1.28E-02 	1.61E-02 	1.43E-02 	1.77E-02 	2.17E-02 	1.76E-02 	1.50E-02 	2.08E-02 	1.64E-02 	1.23E-02 	1.85E-02 	1.92E-02 	2.04E-02 
38Ar 	3.77E-04 	5.15E-04 	7.18E-04 	8.01E-04 	1.25E-03 	1.72E-03 	1.29E-03 	1.91E-03 	2.48E-03 	1.69E-03 	2.69E-03 	1.96E-03 	2.98E-03 	3.42E-03 	8.31E-04 	1.19E-04 	5.40E-06 
40Ar 	1.68E-09 	2.45E-09 	3.13E-09 	2.90E-09 	4.79E-09 	5.27E-09 	3.81E-09 	5.21E-09 	6.60E-09 	6.64E-09 	1.04E-08 	6.29E-09 	9.87E-09 	1.48E-08 	4.66E-10 	9.87E-12 	5.11E-14 
39K 	2.26E-05 	2.98E-05 	4.12E-05 	4.65E-05 	6.80E-05 	9.52E-05 	7.40E-05 	1.07E-04 	1.39E-04 	9.53E-05 	1.42E-04 	1.10E-04 	1.60E-04 	1.75E-04 	6.25E-05 	1.89E-05 	3.57E-06 
41K 	1.29E-06 	1.65E-06 	2.30E-06 	2.66E-06 	3.80E-06 	5.38E-06 	4.22E-06 	6.08E-06 	7.87E-06 	5.36E-06 	7.81E-06 	6.21E-06 	8.93E-06 	9.65E-06 	3.85E-06 	1.42E-06 	4.92E-07 
40Ca 	4.05E-03 	5.74E-03 	7.09E-03 	8.82E-03 	1.13E-02 	1.35E-02 	1.24E-02 	1.47E-02 	1.75E-02 	1.50E-02 	1.07E-02 	1.78E-02 	1.10E-02 	7.50E-03 	1.57E-02 	1.66E-02 	1.77E-02 
42Ca 	8.32E-06 	1.11E-05 	1.55E-05 	1.74E-05 	2.65E-05 	3.69E-05 	2.80E-05 	4.15E-05 	5.44E-05 	3.63E-05 	5.71E-05 	4.22E-05 	6.44E-05 	7.30E-05 	1.67E-05 	2.08E-06 	8.87E-08 
43Ca 	1.63E-08 	1.93E-08 	2.63E-08 	2.92E-08 	4.29E-08 	5.62E-08 	4.37E-08 	6.12E-08 	7.44E-08 	5.57E-08 	8.61E-08 	6.03E-08 	9.21E-08 	1.14E-07 	2.35E-08 	6.22E-09 	6.23E-09 
44Ca 	3.25E-06 	4.40E-06 	5.24E-06 	6.49E-06 	8.14E-06 	9.14E-06 	8.92E-06 	1.00E-05 	1.11E-05 	1.04E-05 	6.45E-06 	1.19E-05 	6.08E-06 	4.06E-06 	1.08E-05 	1.18E-05 	1.27E-05 
46Ca 	1.58E-11 	1.99E-11 	2.66E-11 	2.64E-11 	4.01E-11 	4.76E-11 	7.13E-10 	4.85E-11 	6.06E-11 	5.50E-11 	8.60E-11 	5.65E-11 	8.43E-11 	1.24E-10 	2.24E-12 	5.88E-13 	5.82E-13 
48Ca 	1.97E-15 	3.88E-15 	7.61E-15 	7.56E-15 	1.86E-14 	5.84E-15 	9.97E-11 	7.85E-15 	3.04E-15 	6.17E-15 	5.21E-15 	8.89E-14 	4.52E-15 	6.99E-15 	5.04E-15 	4.85E-15 	4.82E-15 
45Sc 	5.12E-08 	6.53E-08 	8.56E-08 	1.03E-07 	1.36E-07 	1.83E-07 	1.56E-07 	2.05E-07 	2.51E-07 	1.92E-07 	2.20E-07 	2.20E-07 	2.48E-07 	2.45E-07 	1.43E-07 	7.69E-08 	3.94E-08 
46Ti 	4.33E-06 	5.72E-06 	8.01E-06 	9.13E-06 	1.33E-05 	1.87E-05 	1.46E-05 	2.11E-05 	2.75E-05 	1.86E-05 	2.72E-05 	2.17E-05 	3.11E-05 	3.34E-05 	9.34E-06 	1.37E-06 	2.19E-07 
47Ti 	1.80E-07 	2.28E-07 	3.01E-07 	3.58E-07 	4.84E-07 	6.33E-07 	5.44E-07 	7.05E-07 	8.51E-07 	6.53E-07 	7.66E-07 	7.44E-07 	8.46E-07 	8.59E-07 	3.37E-07 	9.30E-08 	9.90E-08 
48Ti 	1.02E-04 	1.41E-04 	1.67E-04 	2.07E-04 	2.67E-04 	2.85E-04 	2.87E-04 	3.14E-04 	3.36E-04 	3.31E-04 	1.80E-04 	3.78E-04 	1.50E-04 	9.30E-05 	3.43E-04 	3.73E-04 	3.87E-04 
49Ti 	8.06E-06 	1.07E-05 	1.29E-05 	1.61E-05 	2.07E-05 	2.35E-05 	2.35E-05 	2.59E-05 	2.76E-05 	2.69E-05 	1.72E-05 	3.05E-05 	1.62E-05 	1.03E-05 	2.06E-05 	1.27E-05 	6.83E-06 
50Ti 	2.48E-08 	5.52E-08 	1.33E-07 	1.44E-07 	3.43E-07 	1.62E-07 	1.02E-04 	2.60E-07 	6.88E-10 	1.61E-07 	4.58E-08 	1.25E-06 	1.19E-09 	1.72E-09 	2.52E-07 	2.47E-07 	2.46E-07 
50V 	8.95E-10 	1.21E-09 	1.94E-09 	2.34E-09 	3.70E-09 	4.68E-09 	3.20E-08 	5.56E-09 	3.84E-09 	5.07E-09 	6.16E-09 	6.72E-09 	6.11E-09 	7.52E-09 	3.01E-09 	2.30E-09 	2.28E-09 
51V 	3.41E-05 	4.14E-05 	5.01E-05 	6.18E-05 	8.06E-05 	9.51E-05 	1.51E-04 	1.05E-04 	1.01E-04 	1.09E-04 	8.19E-05 	1.20E-04 	8.09E-05 	6.01E-05 	7.65E-05 	3.99E-05 	2.62E-05 
50Cr 	1.01E-04 	1.39E-04 	1.84E-04 	2.27E-04 	3.08E-04 	4.06E-04 	3.95E-04 	4.51E-04 	4.63E-04 	4.47E-04 	4.48E-04 	5.05E-04 	5.08E-04 	4.01E-04 	2.53E-04 	1.11E-04 	8.59E-05 
52Cr 	3.55E-03 	4.06E-03 	4.56E-03 	5.45E-03 	7.23E-03 	7.70E-03 	1.16E-02 	8.57E-03 	8.02E-03 	8.90E-03 	5.62E-03 	9.85E-03 	4.78E-03 	3.94E-03 	8.97E-03 	9.44E-03 	9.64E-03 
53Cr 	5.25E-04 	5.27E-04 	5.91E-04 	7.09E-04 	9.48E-04 	1.12E-03 	1.46E-03 	1.24E-03 	9.98E-04 	1.29E-03 	1.06E-03 	1.36E-03 	1.06E-03 	9.20E-04 	1.02E-03 	7.61E-04 	6.27E-04 
54Cr 	9.85E-07 	2.06E-06 	4.54E-06 	5.18E-06 	1.08E-05 	7.59E-06 	1.25E-03 	2.61E-07 	1.11E-05 	8.55E-06 	4.94E-06 	3.24E-05 	3.17E-06 	4.06E-06 	1.07E-05 	1.05E-05 	1.05E-05 
55Mn 	8.74E-03 	6.93E-03 	6.80E-03 	7.61E-03 	9.70E-03 	1.21E-02 	1.39E-02 	9.29E-03 	1.33E-02 	1.39E-02 	1.31E-02 	1.35E-02 	1.31E-02 	1.13E-02 	1.11E-02 	8.73E-03 	7.84E-03 
54Fe	3.02E-02 	3.07E-02 	3.84E-02 	4.77E-02 	6.71E-02 	9.00E-02 	9.80E-02 	9.94E-02 	5.70E-02 	1.04E-01 	1.13E-01 	1.03E-01 	1.22E-01 	1.00E-01 	8.19E-02 	6.87E-02 	6.62E-02 
56Fe	1.11E-00 	1.04E-00 	9.80E-01 	9.46E-01 	7.90E-01 	6.70E-01 	7.47E-01 	6.22E-01 	5.33E-01 	5.84E-01 	4.36E-01 	5.33E-01 	3.90E-01 	3.54E-01 	6.46E-01 	6.66E-01 	6.72E-01 
57Fe	3.37E-02 	3.05E-02 	2.91E-02 	2.82E-02 	2.31E-02 	2.03E-02 	2.25E-02 	1.88E-02 	1.43E-02 	1.79E-02 	1.53E-02 	1.56E-02 	1.45E-02 	1.26E-02 	1.66E-02 	1.41E-02 	1.28E-02 
58Fe	7.14E-06 	1.41E-05 	3.21E-05 	3.63E-05 	7.37E-05 	5.33E-05 	5.09E-03 	8.02E-05 	1.27E-07 	6.05E-05 	2.83E-05 	2.13E-04 	7.02E-06 	8.70E-06 	7.85E-05 	7.72E-05 	7.70E-05 
59Co 	4.18E-04 	4.97E-04 	5.62E-04 	5.98E-04 	6.12E-04 	5.59E-04 	9.96E-04 	5.34E-04 	1.48E-04 	5.23E-04 	5.28E-04 	5.03E-04 	6.23E-04 	6.20E-04 	5.09E-04 	4.40E-04 	7.53E-04 
58Ni 	7.26E-02 	6.78E-02 	6.98E-02 	7.13E-02 	6.63E-02 	6.89E-02 	7.54E-02 	6.90E-02 	3.81E-02 	7.01E-02 	7.29E-02 	6.26E-02 	7.48E-02 	6.16E-02 	5.90E-02 	5.09E-02 	5.01E-02 
60Ni 	2.01E-03 	2.63E-03 	3.22E-03 	3.58E-03 	4.31E-03 	4.40E-03 	8.79E-03 	4.54E-03 	7.64E-04 	4.56E-03 	4.67E-03 	4.57E-03 	5.79E-03 	6.75E-03 	4.87E-03 	5.39E-03 	5.36E-03 
61Ni 	8.45E-05 	9.36E-05 	1.02E-04 	1.01E-04 	9.18E-05 	6.57E-05 	1.20E-04 	4.76E-05 	3.09E-05 	3.51E-05 	1.69E-05 	2.56E-05 	1.48E-05 	1.61E-05 	5.04E-05 	4.62E-05 	2.71E-05 
62Ni 	6.55E-04 	7.31E-04 	8.10E-04 	8.06E-04 	7.49E-04 	5.27E-04 	2.85E-03 	4.00E-04 	2.46E-04 	2.94E-04 	1.31E-04 	3.01E-04 	9.83E-05 	1.05E-04 	3.01E-04 	1.54E-04 	1.25E-04 
64Ni 	4.24E-09 	8.11E-09 	1.94E-08 	2.15E-08 	4.72E-08 	2.40E-08 	9.61E-06 	3.83E-08 	5.26E-14 	2.44E-08 	5.97E-09 	1.63E-07 	1.78E-11 	2.55E-11 	3.72E-08 	3.65E-08 	3.63E-08 
63Cu 	4.44E-07 	4.94E-07 	5.59E-07 	5.71E-07 	5.62E-07 	4.43E-07 	2.32E-06 	3.78E-07 	1.72E-07 	3.20E-07 	2.10E-07 	3.23E-07 	1.91E-07 	2.29E-07 	3.17E-07 	3.27E-06 	1.29E-05 
65Cu 	1.09E-07 	1.15E-07 	1.32E-07 	1.32E-07 	1.31E-07 	1.05E-07 	3.23E-07 	8.02E-08 	6.04E-08 	6.14E-08 	2.58E-08 	4.13E-08 	2.41E-08 	2.77E-08 	9.98E-08 	1.26E-07 	1.45E-07 
64Zn 	1.72E-06 	1.83E-06 	2.09E-06 	2.11E-06 	2.09E-06 	1.71E-06 	1.94E-06 	1.32E-06 	9.19E-07 	1.06E-06 	5.45E-07 	6.42E-07 	5.66E-07 	6.38E-07 	2.22E-06 	1.73E-05 	2.64E-05 
66Zn 	2.55E-06 	2.70E-06 	3.11E-06 	3.13E-06 	3.04E-06 	2.41E-06 	2.74E-06 	1.79E-06 	1.44E-06 	1.39E-06 	5.97E-07 	7.64E-07 	5.74E-07 	6.45E-07 	1.43E-06 	6.29E-07 	4.37E-07 
67Zn 	1.48E-09 	1.53E-09 	1.77E-09 	1.79E-09 	1.75E-09 	1.42E-09 	2.26E-09 	1.09E-09 	8.79E-10 	8.61E-10 	3.91E-10 	4.91E-10 	3.76E-10 	4.24E-10 	7.08E-10 	2.47E-10 	1.73E-10 
68Zn 	9.01E-10 	9.38E-10 	1.10E-09 	1.12E-09 	1.13E-09 	8.87E-10 	1.07E-08 	7.24E-10 	5.26E-10 	5.68E-10 	2.58E-10 	5.91E-10 	2.29E-10 	2.53E-10 	3.70E-10 	1.71E-10 	1.51E-10 
70Zn 	3.39E-16 	6.43E-16 	1.52E-15 	1.63E-15 	3.67E-15 	1.36E-15 	2.23E-12 	2.23E-15 	5.97E-24 	1.25E-15 	1.76E-16 	1.48E-14 	7.40E-22 	1.25E-21 	2.16E-15 	2.10E-15 	2.09E-15 
69Ga 	5.66E-14 	8.72E-14 	1.77E-13 	2.00E-13 	3.30E-13 	2.72E-13 	1.04E-11 	3.93E-13 	6.71E-15 	3.27E-13 	1.39E-13 	8.44E-13 	9.10E-15 	1.15E-14 	3.81E-13 	3.73E-13 	3.72E-13 
71Ga 	2.06E-15 	2.25E-15 	3.31E-15 	3.49E-15 	4.73E-15 	3.43E-15 	3.47E-13 	4.03E-15 	1.22E-15 	3.15E-15 	1.24E-15 	9.47E-15 	6.14E-16 	7.02E-16 	3.06E-15 	2.69E-15 	2.66E-15 
